fonte;http://geogeral.com/h/b7/cidbolsc.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-scruz.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
Espíritu; [Santa Cruz] - Bolívia; Pop.: 809;
Estacion San Antonio de Parapeti; [Santa Cruz] - Bolívia; Pop.: 1.218;
Faja Norte; [Santa Cruz] - Bolívia; Pop.: 1.159;
Fátima; [Santa Cruz] - Bolívia; Pop.: 954;
Fernández Alonso; [Santa Cruz] - Bolívia; Pop.: 10.388;
Fortín Libertad; [Santa Cruz] - Bolívia; Pop.: 1.443;
Guadalupe; [Santa Cruz] - Bolívia; Pop.: 820;
Guajojo; [Santa Cruz] - Bolívia; Pop.: 1.363;
Guirayoasa (La Brecha); [Santa Cruz] - Bolívia; Pop.: 1.140;
Gutiérrez; [Santa Cruz] - Bolívia; Pop.: 1.182;
Hardeman; [Santa Cruz] - Bolívia; Pop.: 4.483;
Huaytú; [Santa Cruz] - Bolívia; Pop.: 1.728;
Illimani; [Santa Cruz] - Bolívia; Pop.: 789;
Ipatí; [Santa Cruz] - Bolívia; Pop.: 845;
Ipatimiri; [Santa Cruz] - Bolívia; Pop.: 716;
Itanambikua; [Santa Cruz] - Bolívia; Pop.: 1.165;
Itapaqui; [Santa Cruz] - Bolívia; Pop.: 1.088;
Itapikoe; [Santa Cruz] - Bolívia; Pop.: 785;
Ivamirapinta; [Santa Cruz] - Bolívia; Pop.: 1.119;
Jorochito; [Santa Cruz] - Bolívia; Pop.: 4.373;
Juan Latino; [Santa Cruz] - Bolívia; Pop.: 1.018;
Kapirenda; [Santa Cruz] - Bolívia; Pop.: 1.029;
Kilómetro Doce a Cochabamba; [Santa Cruz] - Bolívia; Pop.: 2.601;
Km 12; [Santa Cruz] - Bolívia; Pop.: 1.053;
Kuarirenda; [Santa Cruz] - Bolívia; Pop.: 922;
La Angostura; [Santa Cruz] - Bolívia; Pop.: 2.356;
La Asunta; [Santa Cruz] - Bolívia; Pop.: 1.470;
La Bélgica; [Santa Cruz] - Bolívia; Pop.: 6.410;
La Cruceña; [Santa Cruz] - Bolívia; Pop.: 1.207;
La Enconada; [Santa Cruz] - Bolívia; Pop.: 1.130;
La Esperanza; [Santa Cruz] - Bolívia; Pop.: 859;
La Finca; [Santa Cruz] - Bolívia; Pop.: 1.963;
La Guardia; [Santa Cruz] - Bolívia; Pop.: 14.622;
La Porfia; [Santa Cruz] - Bolívia; Pop.: 1.289;
La Reforma; [Santa Cruz] - Bolívia; Pop.: 787;
Lagunillas; [Santa Cruz] - Bolívia; Pop.: 1.980;
Las Barreras; [Santa Cruz] - Bolívia; Pop.: 1.821;
Las Gamas; [Santa Cruz] - Bolívia; Pop.: 1.354;
Las Petas; [Santa Cruz] - Bolívia; Pop.: 886;
Las Piedades; [Santa Cruz] - Bolívia; Pop.: 1.264;
Limoncito; [Santa Cruz] - Bolívia; Pop.: 3.406;
Litoral; [Santa Cruz] - Bolívia; Pop.: 730;
Litoral Mineros; [Santa Cruz] - Bolívia; Pop.: 1.023;
Loma Alta; [Santa Cruz] - Bolívia; Pop.: 1.747;
Los Andes; [Santa Cruz] - Bolívia; Pop.: 1.168;
